Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.77,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.78,2024,Eurasian Curlew,Numenius arquata,Military,England,Suffolk,['Suffolk'],1.0492,52.2539,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.79,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.80,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.81,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.82,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.83,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,1,0,0,1,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.84,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.85,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,0,0,0,2,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.86,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,2,2,0,0,0,0,0,0,2,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.87,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,3,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,Headstart
